S_No,Date,Time,Location,City,Province,No_of_Strike,Al_Qaeda,Taliban,Civilians_Min,Civilians_Max,Foreigners_Min,Foreigners_Max,Total_Died_Min,Total_Died_Max,Injured_Min,Injured_Max,Women_Children,Comments,Source_Name,Longitude,Latitude,Temperature_C
264,2011-09-27,22:45:00,Azam warsak,South Waziristan,FATA,1,,4,,2,,,2,4,,4,,No comments,cnn,69.9,33.0333,22
265,2011-09-30,,Baghar,South Waziristan,FATA,1,,,,,,,3,4,,,,No comments,com,69.9,33.0333,20
266,2011-10-13,,Danda Darpakhel,North Waziristan,FATA,1,,6,,,,,4,6,,6,,No comments,dawn,70.1455,32.9746,15
267,2011-10-27,,Azam Warsak,South Waziristan,FATA,1,,6,,,,,4,6,3,4,,No comments,dawn,69.9,33.0333,14
268,2011-10-30,,Datta Khel,North Waziristan,FATA,1,,,4,6,,,4,6,,2,,No comments,dawn,70.1455,32.9746,14
269,2011-11-03,,Darpakhel Sarai,North Waziristan,FATA,1,,3,,,,,2,3,,3,,No comments,com,70.1455,32.9746,13
270,2011-11-15,,Miranshah,North Waziristan,FATA,1,,6,,,,,,6,2,3,,No comments,dawn,70.1455,32.9746,13
271,2011-11-16,,Babar Ghar- Sararogha,South Waziristan,FATA,1,,22,,,,,17,22,,6,,No comments,dawn,69.9,33.0333,12
272,2011-11-17,,Shawal,North Waziristan,FATA,1,,7,,,,,,7,,,,No comments,dawn,70.1455,32.9746,12
273,2012-01-10,,Miranshah,North Waziristan,FATA,1,,,,,,,,4,,,,No comments,telegraph,70.1455,32.9746,1
275,2011-10-31,,Naurak mirali,North Waziristan,FATA,1,,,2,4,,,2,4,,5,,No comments,cnn,70.1455,32.9746,14
281,2012-01-12,19:00:00,Dogga village- Datta khel tehsil- 45 km west of miranshah,North Waziristan,FATA,1,,,,,,6,4,6,,2,0,The strike came two days after a similar attack killed four militants in north waziristan,com,70.1455,32.9746,3
282,2012-01-23,,Muhammad khel village,North Waziristan,FATA,1,,,,2,,,,2,,,0,No comments,thenews,70.1455,32.9746,-3
284,2012-02-08,7:00:00,Tappi- 10KM southeast of Miranshah,North Waziristan,FATA,1,,,,10,,,,10,,,0,No comments,bbc,70.1455,32.9746,-3
285,2012-02-09,6:30:00,Miranshah,North Waziristan,FATA,1,4,,,4,,,,4,,,0,Followed a drone attack earlier on Feb9- 2012,com,70.1455,32.9746,-1
286,2012-02-16,6:30:00,Spagla Town Near Miranshah,North Waziristan,FATA,1,,,,5,,,,5,,,0,No comments,bbc,70.1455,32.9746,-1
288,2012-03-13,7:15:00,Birmal area of South Waziristan,South Waziristan,FATA,1,0,8,,,,,7,8,,2,0,No comments,dawn,69.9,33.0333,4
290,2012-03-09,,Mandao area on the boarder od North and South Waziristan,South Waziristan,FATA,3,1,12,,,,,8,13,,,0,No comments,com,69.9,33.0333,5
291,2012-03-30,3:00:00,Market in Miranshah North Waziristan,North Waziristan,FATA,3,0,0,,4,,,,4,,2,0,No comments,com,70.1455,32.9746,19
292,2012-04-29,,Miranshah,North Waziristan,FATA,1,0,0,0,0,3,4,3,4,2,3,0,First drone strike in almost a month,express,70.1455,32.9746,15
293,2012-05-05,,Shawal area- 70km west of Miranshah,North Waziristan,FATA,1,0,0,0,0,0,10,0,10,0,8,1,No comments,dailytimes,70.1455,32.9746,19
294,2012-05-23,,Miranshah,North Waziristan,FATA,2,0,0,4,5,0,0,4,5,,,0,First U.S. Drone attack following the Chicago Summit,com,70.1455,32.9746,20
295,2012-05-24,5:30:00,Mir Ali,North Waziristan,FATA,1,0,0,2,10,4,8,2,10,,,0,No comments,nation,70.1455,32.9746,21
296,2012-05-26,4:00:00,Miranshah,North Waziristan,FATA,2,0,0,1,4,2,3,3,4,,,0,No comments,com,70.1455,32.9746,18
297,2012-05-28,9:00:00,HassoKhel Town- 25km East of Miranshah,North Waziristan,FATA,1,0,0,5,8,0,0,5,8,,,0,No comments,com,70.1455,32.9746,23
299,2012-06-02,8:30:00,Khawashikhel Village- 5km West of Wana,South Waziristan,FATA,1,0,3,0,0,0,0,2,3,,,0,No comments,com,69.9,33.0333,24
300,2012-06-03,,Wacha Dana- 10km West of Wana,South Waziristan,FATA,1,0,11,0,0,0,0,6,11,0,2,0,No comments,express,69.9,33.0333,24
301,2012-06-04,3:30:00,Heshokhel Village- 3km East of Mirali,North Waziristan,FATA,1,1,0,0,14,0,0,0,15,0,5,0,No comments,bbc,70.1455,32.9746,25
302,2012-06-13,,Isha Village- 10km East of Miranshah,North Waziristan,FATA,1,0,0,3,4,0,0,3,4,,,0,No comments,express,70.1455,32.9746,21
303,2012-06-14,3:15:00,Miranshah Bazaar,North Waziristan,FATA,2,0,0,2,4,0,0,2,4,0,2,0,No comments,express,70.1455,32.9746,23
